Posicion,Equipo,Puntos,Ganados,Empatados,Perdidos,Goles_A_Favor,Goles_En_Contra,Diferencia_De_Gol
1,FC Barcelona,93,28,9,1,99,29,70
2,Atlético Madrid,79,23,10,5,58,22,36
3,Real Madrid CF,76,22,10,6,94,44,50
4,Valencia CF,73,22,7,9,65,38,27
5,Villarreal CF,61,18,7,13,57,50,7
6,Real Betis,60,18,6,14,60,61,-1
7,Sevilla FC,58,17,7,14,49,58,-9
8,Getafe CF,55,15,10,13,42,33,9
9,Girona FC,51,14,9,15,50,59,-9
10,SD Eibar,51,14,9,15,44,50,-6
11,Real Sociedad,49,14,7,17,66,59,7
12,RCD Español,49,12,13,13,36,42,-6
13,RC Celta Vigo,49,13,10,15,59,60,-1
14,Deportivo Alavés,47,15,2,21,40,50,-10
15,Levante UD,46,11,13,14,44,58,-14
16,CD Leganés,43,12,7,19,34,51,-17
17,Athletic Club Bilbao,43,10,13,15,41,49,-8
18,RCD La Coruña,29,6,11,21,38,76,-38
19,UD Las Palmas,22,5,7,26,24,74,-50
20,Málaga CF,20,5,5,28,24,61,-37
